driver,address,lat,lng,date,ID
,NULL,NULL,NULL,NULL,239596
WrWmp,…,…,"2021/01/15 09:33:49",NULL,239597
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 09:36:11
",239598
WrWmp,…,…,"2021/01/15 09:38:49",NULL,239599
QNyMQ,0,0,運行開始,"2021/01/15 09:39:37
",239600
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 09:41:11
",239601
,NULL,NULL,NULL,NULL,239602
WrWmp,…,…,"2021/01/15 09:43:49",NULL,239603
,NULL,NULL,NULL,NULL,239604
,NULL,NULL,NULL,NULL,239605
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 09:46:11
",239606
WrWmp,…,…,"2021/01/15 09:48:49",NULL,239607
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 09:51:11
",239608
,NULL,NULL,NULL,NULL,239609
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 09:56:11
",239610
,NULL,NULL,NULL,NULL,239611
,NULL,NULL,NULL,NULL,239612
,NULL,NULL,NULL,NULL,239613
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 10:02:38
",239614
WrWmp,…,…,"2021/01/15 10:03:50",NULL,239615
,NULL,NULL,NULL,NULL,239616
,NULL,NULL,NULL,NULL,239617
,NULL,NULL,NULL,NULL,239618
WrWmp,…,…,"2021/01/15 10:11:57",NULL,239619
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 10:12:14
",239620
WrWmp,…,…,"2021/01/15 10:16:58",NULL,239621
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 10:17:14
",239622
,NULL,NULL,NULL,NULL,239623
WrWmp,…,…,"2021/01/15 10:21:58",NULL,239624
QNyMQ,…,…,"2021/01/15 10:22:00",NULL,239625
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 10:22:14
",239626
,NULL,NULL,NULL,NULL,239627
,NULL,NULL,NULL,NULL,239628
WrWmp,…,…,"2021/01/15 10:26:58",NULL,239629
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 10:27:14
",239630
,NULL,NULL,NULL,NULL,239631
WrWmp,…,…,"2021/01/15 10:31:58",NULL,239632
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 10:32:14
",239633
WrWmp,…,…,"2021/01/15 10:36:58",NULL,239634
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 10:37:14
",239635
QNyMQ,0,0,運行終了,"2021/01/15 10:39:34
",239636
,NULL,NULL,NULL,NULL,239637
,NULL,NULL,NULL,NULL,239638
,NULL,NULL,NULL,NULL,239639
WrWmp,…,…,"2021/01/15 10:41:58",NULL,239640
WrWmp,…,…,"2021/01/15 10:46:57",NULL,239641
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 10:50:18
",239642
,NULL,NULL,NULL,NULL,239643
WrWmp,…,…,"2021/01/15 10:51:58",NULL,239644
,NULL,NULL,NULL,NULL,239645
,NULL,NULL,NULL,NULL,239646
WrWmp,…,…,"2021/01/15 10:56:58",NULL,239647
,NULL,NULL,NULL,NULL,239648
WrWmp,…,…,"2021/01/15 11:01:57",NULL,239649
aet20,大阪府泉佐野市２−９,34.426499,135.3190611,"2021/01/15 11:06:40
",239650
WrWmp,…,…,"2021/01/15 11:06:57",NULL,239651
,NULL,NULL,NULL,NULL,239652
,NULL,NULL,NULL,NULL,239653
,NULL,NULL,NULL,NULL,239654
WrWmp,…,…,"2021/01/15 11:11:57",NULL,239655
WrWmp,…,…,"2021/01/15 11:16:58",NULL,239656
,NULL,NULL,NULL,NULL,239657
WrWmp,…,…,"2021/01/15 11:21:58",NULL,239658
,NULL,NULL,NULL,NULL,239659
,NULL,NULL,NULL,NULL,239660
WrWmp,…,…,"2021/01/15 11:26:57",NULL,239661
aet20,0,0,運行終了,"2021/01/15 11:30:22
",239662
,NULL,NULL,NULL,NULL,239663
,NULL,NULL,NULL,NULL,239664
,NULL,NULL,NULL,NULL,239665
,NULL,NULL,NULL,NULL,239666
WrWmp,…,…,"2021/01/15 11:31:57",NULL,239667
,NULL,NULL,NULL,NULL,239668
,NULL,NULL,NULL,NULL,239669
,NULL,NULL,NULL,NULL,240437
,NULL,NULL,NULL,NULL,240438
